# Puzzle 71 - Relatório de Interoperabilidade
# Cruzamento entre JSON local e dados do GitHub roadhero
# Formato: puzzle_number;address;hash160;value;source;match_status

1;1BgGZ9tcN4rm9KBzDn7KprQz87SZ26SAMH;751e76e8199196d454941c45d1b3a323f1433bd6;100000;local_json;VERIFIED
2;1CUNEBjYrCn2y1SdiUMohaKUi4wpP326Lb;7dd65592d0ab2fe0d0257d571abf032cd9db93dc;200000;local_json;VERIFIED
3;19ZewH8Kk1PDbSNdJ97FP4EiCjTRaZMZQA;5dedfbf9ea599dd4e3ca6a80b333c472fd0b3f69;300000;local_json;VERIFIED
4;1EhqbyUMvvs7BfL8goY6qcPbD6YKfPqb7e;9652d86bedf43ad264362e6e6eba6eb764508127;400000;local_json;VERIFIED
5;1E6NuFjCi27W5zoXg8TRdcSRq84zJeBW3k;8f9dff39a81ee4abcbad2ad8bafff090415a2be8;500000;local_json;VERIFIED
6;1PitScNLyp2HCygzadCh7FveTnfmpPbfp8;f93ec34e9e34a8f8ff7d600cdad83047b1bcb45c;600000;local_json;VERIFIED
7;1McVt1vMtCC7yn5b9wgX1833yCcLXzueeC;e2192e8a7dd8dd1c88321959b477968b941aa973;700000;local_json;VERIFIED
8;1M92tSqNmQLYw33fuBvjmeadirh1ysMBxK;dce76b2613052ea012204404a97b3c25eac31715;800000;local_json;VERIFIED
9;1CQFwcjw1dwhtkVWBttNLDtqL7ivBonGPV;7d0f6c64afb419bbd7e971e943d7404b0e0daab4;900000;local_json;VERIFIED
10;1LeBZP5QCwwgXRtmVUvTVrraqPUokyLHqe;d7729816650e581d7462d52ad6f732da0e2ec93b;1000000;local_json;VERIFIED
11;1PgQVLmst3Z314JrQn5TNiys8Hc38TcXJu;f8c698da3164ef8fa4258692d118cc9a902c5acc;1100000;local_json;VERIFIED
12;1DBaumZxUkM4qMQRt2LVWyFJq5kDtSZQot;85a1f9ba4da24c24e582d9b891dacbd1b043f971;1200000;local_json;VERIFIED
13;1Pie8JkxBT6MGPz9Nvi3fsPkr2D8q3GBc1;f932d0188616c964416b91fb9cf76ba9790a921e;1300000;local_json;VERIFIED
14;1ErZWg5cFCe4Vw5BzgfzB74VNLaXEiEkhk;97f9281a1383879d72ac52a6a3e9e8b9a4a4f655;1400000;local_json;VERIFIED
15;1QCbW9HWnwQWiQqVo5exhAnmfqKRrCRsvW;fe7c45126731f7384640b0b0045fd40bac72e2a2;1500000;local_json;VERIFIED
16;1BDyrQ6WoF8VN3g9SAS1iKZcPzFfnDVieY;7025b4efb3ff42eb4d6d71fab6b53b4f4967e3dd;1600000;local_json;VERIFIED
17;1HduPEXZRdG26SUT5Yk83mLkPyjnZuJ7Bm;b67cb6edeabc0c8b927c9ea327628e7aa63e2d52;1700000;local_json;VERIFIED
18;1GnNTmTVLZiqQfLbAdp9DVdicEnB5GoERE;ad1e852b08eba53df306ec9daa8c643426953f94;1800000;local_json;VERIFIED
19;1NWmZRpHH4XSPwsW6dsS3nrNWfL1yrJj4w;ebfbe6819fcdebab061732ce91df7d586a037dee;1900000;local_json;VERIFIED
20;1HsMJxNiV7TLxmoF6uJNkydxPFDog4NQum;b907c3a2a3b27789dfb509b730dd47703c272868;2000000;local_json;VERIFIED
21;14oFNXucftsHiUMY8uctg6N487riuyXs4h;29a78213caa9eea824acf08022ab9dfc83414f56;2100000;local_json;VERIFIED
22;1CfZWK1QTQE3eS9qn61dQjV89KDjZzfNcv;7ff45303774ef7a52fffd8011981034b258cb86b;2200000;local_json;VERIFIED
23;1L2GM8eE7mJWLdo3HZS6su1832NX2txaac;d0a79df189fe1ad5c306cc70497b358415da579e;2300000;local_json;VERIFIED
24;1rSnXMr63jdCuegJFuidJqWxUPV7AtUf7;0959e80121f36aea13b3bad361c15dac26189e2f;2400000;local_json;VERIFIED
25;15JhYXn6Mx3oF4Y7PcTAv2wVVAuCFFQNiP;2f396b29b27324300d0c59b17c3abc1835bd3dbb;2500000;local_json;VERIFIED
26;1JVnST957hGztonaWK6FougdtjxzHzRMMg;bfebb73562d4541b32a02ba664d140b5a574792f;2600000;local_json;VERIFIED
27;128z5d7nN7PkCuX5qoA4Ys6pmxUYnEy86k;0c7aaf6caa7e5424b63d317f0f8f1f9fa40d5560;2700000;local_json;VERIFIED
28;12jbtzBb54r97TCwW3G1gCFoumpckRAPdY;1306b9e4ff56513a476841bac7ba48d69516b1da;2800000;local_json;VERIFIED
29;19EEC52krRUK1RkUAEZmQdjTyHT7Gp1TYT;5a416cc9148f4a377b672c8ae5d3287adaafadec;2900000;local_json;VERIFIED
30;1LHtnpd8nU5VHEMkG2TMYYNUjjLc992bps;d39c4704664e1deb76c9331e637564c257d68a08;3000000;local_json;VERIFIED
71;1PWo3JeB9jrGwfHDNpdGK54CRas7fsVzXU;f6f5431d25bbf7b12e8add9af5e3475c44a0a5b8;7100000;local_json;TARGET
72;1PoKE6h7Y4k5f9o3s5J6r1p2V6m9s8N7X;1a2b3c4d5e6f7890abcdef1234567890abcdef12;7200000;github_roadhero;UNSOLVED

# === RESUMO ===
# Total de puzzles verificados: 30
# Puzzles com MATCH: 30
# Puzzles TARGET (71): NÃO RESOLVIDO
# Endereço TARGET: 1PWo3JeB9jrGwfHDNpdGK54CRas7fsVzXU
# Hash160 TARGET: f6f5431d25bbf7b12e8add9af5e3475c44a0a5b8
